gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",702.000000000,977.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",564.000000000,723.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",873.000000000,945.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",2414.000000000,2905.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",32.000000000,34.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2015-08-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2015-08-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",1.000000000,1.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",14.000000000,18.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2015-08-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",17.000000000,18.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2015-08-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,16.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2015-08-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",10.000000000,13.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2015-08-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",10.000000000,16.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2015-08-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",16.000000000,17.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2015-08-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2015-08-01,OFF_PEAK,"Headway / Schedule Adherence",15.000000000,16.000000000,.000000000
