gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",246.000000000,273.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",922.000000000,1017.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",320.000000000,405.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",617.000000000,765.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",1030.000000000,1306.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",468.000000000,602.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",1792.000000000,2351.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",697.000000000,985.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",30.000000000,31.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2015-10-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2015-10-01,PEAK,"Headway / Schedule Adherence",9.000000000,12.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",18.000000000,22.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2015-10-01,PEAK,"Headway / Schedule Adherence",14.000000000,17.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",18.000000000,31.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",22.000000000,23.000000000,.000000000
CR-Franklin,,"Franklin Line","Commuter Rail",,"Commuter Rail",2015-10-01,PEAK,"Headway / Schedule Adherence",13.000000000,14.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2015-10-01,PEAK,"Headway / Schedule Adherence",9.000000000,9.000000000,.000000000
CR-Greenbush,,"Greenbush Line","Commuter Rail",,"Commuter Rail",2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",15.000000000,15.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",29.000000000,30.000000000,.000000000
CR-Haverhill,,"Haverhill Line","Commuter Rail",,"Commuter Rail",2015-10-01,PEAK,"Headway / Schedule Adherence",14.000000000,14.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",15.000000000,15.000000000,.000000000
CR-Kingston,,"Kingston/Plymouth Line","Commuter Rail",,"Commuter Rail",2015-10-01,PEAK,"Headway / Schedule Adherence",8.000000000,9.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2015-10-01,PEAK,"Headway / Schedule Adherence",15.000000000,15.000000000,.000000000
CR-Lowell,,"Lowell Line","Commuter Rail",,"Commuter Rail",2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",37.000000000,37.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2015-10-01,PEAK,"Headway / Schedule Adherence",8.000000000,8.000000000,.000000000
CR-Middleborough,,"Middleborough/Lakeville Line","Commuter Rail",,"Commuter Rail",2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",13.000000000,16.000000000,.000000000
CR-Needham,,"Needham Line","Commuter Rail",,"Commuter Rail",2015-10-01,PEAK,"Headway / Schedule Adherence",10.000000000,10.000000000,.000000000
CR-Needham,,"Needham Line","Commuter Rail",,"Commuter Rail",2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",20.000000000,22.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2015-10-01,PEAK,"Headway / Schedule Adherence",8.000000000,8.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",18.000000000,18.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2015-10-01,PEAK,"Headway / Schedule Adherence",13.000000000,13.000000000,.000000000
CR-Newburyport,,"Newburyport/Rockport Line","Commuter Rail",,"Commuter Rail",2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",21.000000000,23.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2015-10-01,PEAK,"Headway / Schedule Adherence",11.000000000,14.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2015-10-01,PEAK,"Headway / Schedule Adherence",6.000000000,9.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",19.000000000,23.000000000,.000000000
CR-Providence,,"Providence/Stoughton Line","Commuter Rail",,"Commuter Rail",2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",23.000000000,27.000000000,.000000000
701,CT1,,"Local Bus","Other Bus",Bus,2015-10-01,OFF_PEAK,"Headway / Schedule Adherence",259.000000000,427.000000000,
701,CT1,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",152.000000000,282.000000000,
747,CT2,,"Local Bus","Other Bus",Bus,2015-10-01,PEAK,"Headway / Schedule Adherence",92.000000000,204.000000000,
