gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2017-01-01,OFF_PEAK,"Passenger Wait Time",57335.411462705,61424.302412185,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2017-01-01,OFF_PEAK,"Passenger Wait Time",58026.274473558,60157.868356017,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2017-01-01,OFF_PEAK,"Passenger Wait Time",15451.692886106,19671.945592890,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2017-01-01,OFF_PEAK,"Passenger Wait Time",22407.527596142,31385.288189769,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2017-01-01,OFF_PEAK,"Passenger Wait Time",18700.533631824,23153.192221719,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2017-01-01,OFF_PEAK,"Passenger Wait Time",23152.801906514,28466.557938104,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2017-01-01,OFF_PEAK,"Passenger Wait Time",25273.505761960,26903.145585907,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",675.000000000,801.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",173.000000000,197.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",966.000000000,1045.000000000,
749,SL5,"Silver Line SL5","Rapid Transit","Silver Line",Bus,2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",1415.000000000,1858.000000000,
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2017-01-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Fairmount,,"Fairmount Line","Commuter Rail",,"Commuter Rail",2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",32.000000000,32.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2017-01-01,PEAK,"Headway / Schedule Adherence",.000000000,.000000000,.000000000
CR-Fitchburg,,"Fitchburg Line","Commuter Rail",,"Commuter Rail",2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",11.000000000,14.000000000,.000000000
CR-Worcester,,"Framingham/Worcester Line","Commuter Rail",,"Commuter Rail",2017-01-01,OFF_PEAK,"Headway / Schedule Adherence",17.000000000,18.000000000,.000000000
