gtfs_route_id,gtfs_route_short_name,gtfs_route_long_name,gtfs_route_desc,route_category,mode_type,service_date,peak_offpeak_ind,metric_type,otp_numerator,otp_denominator,cancelled_numerator
Red,,"Red Line","Rapid Transit","Red Line",Rail,2017-12-01,OFF_PEAK,"Passenger Wait Time",97274.221770929,107716.564759812,
Red,,"Red Line","Rapid Transit","Red Line",Rail,2017-12-01,PEAK,"Passenger Wait Time",75390.950096838,82299.046698952,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2017-12-01,OFF_PEAK,"Passenger Wait Time",96814.801168221,102422.959345115,
Orange,,"Orange Line","Rapid Transit","Orange Line",Rail,2017-12-01,PEAK,"Passenger Wait Time",73233.463845733,79533.969546262,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2017-12-01,PEAK,"Passenger Wait Time",8042.247257266,10272.593114699,
Green-B,B,"Green Line B","Rapid Transit","Green Line",Rail,2017-12-01,OFF_PEAK,"Passenger Wait Time",14681.715289180,19401.304493150,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2017-12-01,PEAK,"Passenger Wait Time",12628.085277470,16451.454346455,
Green-C,C,"Green Line C","Rapid Transit","Green Line",Rail,2017-12-01,OFF_PEAK,"Passenger Wait Time",20957.262979657,28320.699654504,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2017-12-01,OFF_PEAK,"Passenger Wait Time",20584.066256149,26964.592063701,
Green-D,D,"Green Line D","Rapid Transit","Green Line",Rail,2017-12-01,PEAK,"Passenger Wait Time",13934.209181348,18554.099401006,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2017-12-01,OFF_PEAK,"Passenger Wait Time",27966.999469062,36726.681350643,
Green-E,E,"Green Line E","Rapid Transit","Green Line",Rail,2017-12-01,PEAK,"Passenger Wait Time",15921.264735353,22460.128868971,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2017-12-01,OFF_PEAK,"Passenger Wait Time",40574.822651841,42808.731015164,
Blue,,"Blue Line","Rapid Transit","Blue Line",Rail,2017-12-01,PEAK,"Passenger Wait Time",27897.521276861,28848.592883668,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",171.000000000,193.000000000,
741,SL1,"Silver Line SL1","Rapid Transit","Silver Line",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",618.000000000,704.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",357.000000000,424.000000000,
742,SL2,"Silver Line SL2","Rapid Transit","Silver Line",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",509.000000000,584.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2017-12-01,OFF_PEAK,"Headway / Schedule Adherence",871.000000000,1121.000000000,
751,SL4,"Silver Line SL4","Rapid Transit","Silver Line",Bus,2017-12-01,PEAK,"Headway / Schedule Adherence",240.000000000,354.000000000,
